       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 00:00:00      -57.547696*       0.6063
LBFGS:    1 00:00:56      -57.567920*       0.5581
LBFGS:    2 00:02:11      -57.623907*       0.3531
LBFGS:    3 00:03:09      -57.642804*       0.4657
LBFGS:    4 00:04:07      -57.653550*       0.5352
LBFGS:    5 00:05:15      -57.674433*       0.5401
LBFGS:    6 00:06:23      -57.689136*       0.4185
LBFGS:    7 00:07:32      -57.702818*       0.5591
LBFGS:    8 00:08:43      -57.719456*       0.6146
LBFGS:    9 00:09:53      -57.737755*       0.5683
LBFGS:   10 00:11:04      -57.757024*       0.4739
LBFGS:   11 00:12:21      -57.774129*       0.3762
LBFGS:   12 00:13:38      -57.787998*       0.2716
LBFGS:   13 00:14:50      -57.799712*       0.2695
LBFGS:   14 00:15:54      -57.806195*       0.1675
LBFGS:   15 00:17:03      -57.811429*       0.1714
LBFGS:   16 00:17:58      -57.815759*       0.1835
LBFGS:   17 00:18:58      -57.821356*       0.2022
LBFGS:   18 00:20:02      -57.826591*       0.1930
LBFGS:   19 00:21:22      -57.830511*       0.1930
LBFGS:   20 00:22:19      -57.833368*       0.1744
LBFGS:   21 00:23:33      -57.836349*       0.1293
LBFGS:   22 00:24:39      -57.837920*       0.0986
LBFGS:   23 00:25:37      -57.839232*       0.0713
LBFGS:   24 00:26:29      -57.840005*       0.0809
LBFGS:   25 00:27:14      -57.840748*       0.0694
LBFGS:   26 00:28:11      -57.841187*       0.0351
