       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 21:48:48     -518.717096*       2.3007
LBFGS:    1 21:56:20     -518.956690*       1.9612
LBFGS:    2 22:08:11     -519.604545*       0.8681
LBFGS:    3 22:15:46     -519.677674*       0.7400
LBFGS:    4 22:23:51     -519.743697*       0.7765
LBFGS:    5 22:31:29     -519.816887*       0.8903
LBFGS:    6 22:39:33     -519.898285*       0.8742
LBFGS:    7 22:47:37     -520.000305*       0.7043
LBFGS:    8 22:55:16     -520.094299*       0.9597
LBFGS:    9 23:04:38     -520.239919*       1.1743
LBFGS:   10 23:15:44     -520.447280*       1.1395
LBFGS:   11 23:25:07     -520.633104*       0.8754
LBFGS:   12 23:33:12     -520.736662*       0.6892
LBFGS:   13 23:40:24     -520.804987*       0.5666
LBFGS:   14 23:48:03     -520.884984*       0.4151
LBFGS:   15 23:55:42     -520.951657*       0.4445
LBFGS:   16 00:03:48     -521.005132*       0.4039
LBFGS:   17 00:11:03     -521.049927*       0.4410
LBFGS:   18 00:17:25     -521.096757*       0.5826
LBFGS:   19 00:24:40     -521.176943*       0.6252
LBFGS:   20 00:33:12     -521.301555*       0.7775
LBFGS:   21 00:43:26     -521.415878*       0.6578
LBFGS:   22 00:51:31     -521.528614*       0.4725
LBFGS:   23 01:00:02     -521.612011*       0.5071
LBFGS:   24 01:07:16     -521.706300*       0.4779
LBFGS:   25 01:15:47     -521.794150*       0.3726
LBFGS:   26 01:25:11     -521.845628*       0.2980
LBFGS:   27 01:31:59     -521.869896*       0.2274
LBFGS:   28 01:37:30     -521.887021*       0.1828
LBFGS:   29 01:43:27     -521.915626*       0.1529
LBFGS:   30 01:50:44     -521.938906*       0.1748
LBFGS:   31 01:58:00     -521.953701*       0.2187
LBFGS:   32 02:03:58     -521.962989*       0.1763
LBFGS:   33 02:09:29     -521.974068*       0.1706
LBFGS:   34 02:15:27     -521.983325*       0.1311
LBFGS:   35 02:20:08     -521.988785*       0.0804
LBFGS:   36 02:25:14     -521.992301*       0.1094
LBFGS:   37 02:30:21     -521.996461*       0.1372
LBFGS:   38 02:35:52     -522.003413*       0.1416
LBFGS:   39 02:41:50     -522.011200*       0.1131
LBFGS:   40 02:47:21     -522.016769*       0.0964
LBFGS:   41 02:52:29     -522.020408*       0.0928
LBFGS:   42 02:57:39     -522.023793*       0.0826
LBFGS:   43 03:03:13     -522.027835*       0.0855
LBFGS:   44 03:08:46     -522.031633*       0.0646
LBFGS:   45 03:14:20     -522.034314*       0.0652
LBFGS:   46 03:18:35     -522.036398*       0.0830
LBFGS:   47 03:23:43     -522.038985*       0.0793
LBFGS:   48 03:27:32     -522.041777*       0.0680
LBFGS:   49 03:33:07     -522.044952*       0.0880
LBFGS:   50 03:37:23     -522.047173*       0.0803
LBFGS:   51 03:43:25     -522.052228*       0.0687
LBFGS:   52 03:49:01     -522.055521*       0.0920
LBFGS:   53 03:54:37     -522.060013*       0.0949
LBFGS:   54 04:00:12     -522.063354*       0.0964
LBFGS:   55 04:05:48     -522.067398*       0.0855
LBFGS:   56 04:11:49     -522.072940*       0.0869
LBFGS:   57 04:17:25     -522.079786*       0.0840
LBFGS:   58 04:23:53     -522.086360*       0.0903
LBFGS:   59 04:28:37     -522.090762*       0.0865
LBFGS:   60 04:34:12     -522.096427*       0.0900
LBFGS:   61 04:40:16     -522.103635*       0.1044
LBFGS:   62 04:46:18     -522.111683*       0.1144
LBFGS:   63 04:52:46     -522.118831*       0.1262
LBFGS:   64 04:58:23     -522.124122*       0.1066
LBFGS:   65 05:04:26     -522.129656*       0.1070
LBFGS:   66 05:09:37     -522.135680*       0.1072
LBFGS:   67 05:15:14     -522.140957*       0.0781
LBFGS:   68 05:19:58     -522.144449*       0.0798
LBFGS:   69 05:24:43     -522.149339*       0.0804
LBFGS:   70 05:29:53     -522.154529*       0.0701
LBFGS:   71 05:35:57     -522.161101*       0.0784
LBFGS:   72 05:41:35     -522.165157*       0.0704
LBFGS:   73 05:46:19     -522.168486*       0.0726
LBFGS:   74 05:51:31     -522.172651*       0.0777
LBFGS:   75 05:57:09     -522.178434*       0.0867
LBFGS:   76 06:03:13     -522.185257*       0.0822
LBFGS:   77 06:08:25     -522.189481*       0.0908
LBFGS:   78 06:14:04     -522.192971*       0.0815
LBFGS:   79 06:18:49     -522.196800*       0.0686
LBFGS:   80 06:24:28     -522.201733*       0.0679
LBFGS:   81 06:29:40     -522.205978*       0.0788
LBFGS:   82 06:35:19     -522.208970*       0.0877
LBFGS:   83 06:40:05     -522.211599*       0.0911
LBFGS:   84 06:44:51     -522.215955*       0.0818
LBFGS:   85 06:50:30     -522.223518*       0.1321
LBFGS:   86 06:56:09     -522.231448*       0.1761
LBFGS:   87 07:02:16     -522.239714*       0.1916
LBFGS:   88 07:07:03     -522.247774*       0.1457
LBFGS:   89 07:13:36     -522.259088*       0.1349
LBFGS:   90 07:19:15     -522.271790*       0.1845
LBFGS:   91 07:25:22     -522.282763*       0.2464
LBFGS:   92 07:31:30     -522.292880*       0.2198
LBFGS:   93 07:36:18     -522.300005*       0.1406
LBFGS:   94 07:41:58     -522.308867*       0.1032
LBFGS:   95 07:48:06     -522.316028*       0.1238
LBFGS:   96 07:54:15     -522.321884*       0.1407
LBFGS:   97 07:59:57     -522.326753*       0.0980
LBFGS:   98 08:05:39     -522.332222*       0.0812
