       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 08:39:23     -153.877917*       1.6049
LBFGS:    1 08:42:11     -153.942929*       1.5095
LBFGS:    2 08:46:47     -154.404116*       1.2936
LBFGS:    3 08:51:55     -154.490780*       1.3616
LBFGS:    4 08:55:57     -154.553711*       0.8853
LBFGS:    5 08:58:33     -154.577616*       0.6982
LBFGS:    6 09:01:33     -154.621567*       0.7036
LBFGS:    7 09:05:25     -154.647020*       0.5904
LBFGS:    8 09:09:08     -154.668283*       0.1986
LBFGS:    9 09:11:22     -154.672331*       0.1783
LBFGS:   10 09:15:17     -154.681246*       0.0721
LBFGS:   11 09:18:26     -154.682644*       0.0627
LBFGS:   12 09:21:03     -154.683636*       0.0741
LBFGS:   13 09:23:17     -154.684976*       0.0810
LBFGS:   14 09:26:05     -154.687303*       0.0960
LBFGS:   15 09:29:04     -154.688818*       0.0827
LBFGS:   16 09:32:26     -154.690013*       0.1026
LBFGS:   17 09:35:02     -154.691351*       0.1084
LBFGS:   18 09:37:38     -154.692949*       0.1015
LBFGS:   19 09:40:49     -154.694893*       0.0911
LBFGS:   20 09:43:37     -154.696820*       0.0945
LBFGS:   21 09:46:24     -154.699230*       0.1144
LBFGS:   22 09:49:45     -154.702092*       0.1406
LBFGS:   23 09:52:55     -154.707801*       0.1668
LBFGS:   24 09:57:01     -154.721397*       0.2600
LBFGS:   25 10:00:00     -154.730446*       0.2441
LBFGS:   26 10:03:21     -154.742929*       0.1622
LBFGS:   27 10:06:19     -154.749412*       0.1580
