       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 11:43:50     -154.985336*       0.2370
LBFGS:    1 11:45:43     -154.992950*       0.2380
LBFGS:    2 11:49:16     -155.034681*       0.2518
LBFGS:    3 11:51:21     -155.039751*       0.2467
LBFGS:    4 11:54:46     -155.067883*       0.2267
LBFGS:    5 11:57:35     -155.081715*       0.2402
LBFGS:    6 12:00:48     -155.099232*       0.2888
LBFGS:    7 12:04:11     -155.117159*       0.3441
LBFGS:    8 12:07:36     -155.138820*       0.3442
LBFGS:    9 12:11:25     -155.176140*       0.3322
LBFGS:   10 12:14:05     -155.192712*       0.2960
LBFGS:   11 12:17:07     -155.214522*       0.2191
LBFGS:   12 12:20:21     -155.234094*       0.2380
LBFGS:   13 12:23:35     -155.258726*       0.2761
LBFGS:   14 12:26:50     -155.276278*       0.2727
LBFGS:   15 12:29:41     -155.287737*       0.2439
LBFGS:   16 12:31:58     -155.294565*       0.2039
LBFGS:   17 12:35:35     -155.305956*       0.1848
LBFGS:   18 12:38:50     -155.317428*       0.2066
LBFGS:   19 12:41:41     -155.326179*       0.1711
LBFGS:   20 12:44:43     -155.333872*       0.1873
LBFGS:   21 12:47:12     -155.339533*       0.1709
LBFGS:   22 12:50:15     -155.353372*       0.1323
LBFGS:   23 12:53:06     -155.360692*       0.1341
LBFGS:   24 12:55:34     -155.364807*       0.1258
LBFGS:   25 12:58:14     -155.367784*       0.1140
LBFGS:   26 13:00:09     -155.370281*       0.0936
LBFGS:   27 13:02:37     -155.374865*       0.0989
LBFGS:   28 13:05:05     -155.377228*       0.0834
LBFGS:   29 13:07:34     -155.378696*       0.0659
LBFGS:   30 13:09:40     -155.380275*       0.0638
LBFGS:   31 13:12:08     -155.382413*       0.0742
LBFGS:   32 13:14:14     -155.384144*       0.0743
LBFGS:   33 13:16:20     -155.385506*       0.0696
LBFGS:   34 13:18:14     -155.386526*       0.0566
LBFGS:   35 13:20:31     -155.387943*       0.0637
LBFGS:   36 13:22:26     -155.389215*       0.0610
LBFGS:   37 13:24:20     -155.390091*       0.0468
