       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 20:04:01     -234.302240*       1.7970
LBFGS:    1 20:08:14     -234.370017*       1.5200
LBFGS:    2 20:15:09     -234.533530*       0.4698
LBFGS:    3 20:18:46     -234.541758*       0.3216
LBFGS:    4 20:21:47     -234.548074*       0.2729
LBFGS:    5 20:27:31     -234.570741*       0.2274
LBFGS:    6 20:30:13     -234.574175*       0.1065
LBFGS:    7 20:33:14     -234.577021*       0.0935
LBFGS:    8 20:36:50     -234.580642*       0.1897
LBFGS:    9 20:41:04     -234.584561*       0.2347
LBFGS:   10 20:44:59     -234.589136*       0.2112
LBFGS:   11 20:48:54     -234.591734*       0.1233
LBFGS:   12 20:51:55     -234.594259*       0.0899
LBFGS:   13 20:57:39     -234.592988*       0.3660
LBFGS:   14 21:03:04     -234.605351*       0.2165
LBFGS:   15 21:06:59     -234.613213*       0.1926
LBFGS:   16 21:12:24     -234.670042*       0.3660
LBFGS:   17 21:21:28     -234.705772*       0.7038
LBFGS:   18 21:26:17     -234.732863*       0.3799
LBFGS:   19 21:31:07     -234.777580*       0.2715
LBFGS:   20 21:36:14     -234.818966*       0.4583
LBFGS:   21 21:40:45     -234.836975*       0.2943
LBFGS:   22 21:44:40     -234.845479*       0.1292
LBFGS:   23 21:47:59     -234.850886*       0.1905
LBFGS:   24 21:52:29     -234.862686*       0.2485
LBFGS:   25 21:56:43     -234.873962*       0.2376
LBFGS:   26 22:01:14     -234.884256*       0.1985
LBFGS:   27 22:04:50     -234.892440*       0.2089
LBFGS:   28 22:09:22     -234.902245*       0.1658
LBFGS:   29 22:13:17     -234.909058*       0.1425
LBFGS:   30 22:17:30     -234.913247*       0.1292
LBFGS:   31 22:20:48     -234.914749*       0.0984
LBFGS:   32 22:24:07     -234.915870*       0.0957
LBFGS:   33 22:27:26     -234.917771*       0.1067
LBFGS:   34 22:31:03     -234.921013*       0.1105
LBFGS:   35 22:34:40     -234.923921*       0.0902
LBFGS:   36 22:37:59     -234.925904*       0.0928
LBFGS:   37 22:41:00     -234.927561*       0.0933
LBFGS:   38 22:44:37     -234.929654*       0.1007
LBFGS:   39 22:48:14     -234.932069*       0.1060
LBFGS:   40 22:52:09     -234.933950*       0.0723
LBFGS:   41 22:55:46     -234.934532*       0.0393
