       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 08:31:40     -153.883031*       1.6057
LBFGS:    1 08:34:26     -153.948149*       1.5155
LBFGS:    2 08:39:05     -154.408142*       1.2863
LBFGS:    3 08:44:02     -154.489903*       1.3937
LBFGS:    4 08:47:46     -154.554584*       0.8863
LBFGS:    5 08:50:33     -154.578614*       0.6915
LBFGS:    6 08:53:54     -154.619102*       0.6538
LBFGS:    7 08:57:49     -154.644226*       0.6314
LBFGS:    8 09:01:44     -154.667796*       0.2092
LBFGS:    9 09:03:58     -154.671777*       0.1822
LBFGS:   10 09:07:19     -154.681605*       0.0753
LBFGS:   11 09:09:45     -154.682677*       0.0636
LBFGS:   12 09:11:59     -154.683740*       0.0736
LBFGS:   13 09:14:12     -154.685387*       0.0868
LBFGS:   14 09:17:11     -154.687379*       0.0794
LBFGS:   15 09:19:47     -154.688860*       0.0787
LBFGS:   16 09:22:46     -154.690326*       0.1101
LBFGS:   17 09:25:11     -154.691377*       0.1114
LBFGS:   18 09:28:33     -154.693830*       0.1010
LBFGS:   19 09:31:10     -154.695464*       0.0949
LBFGS:   20 09:34:09     -154.697711*       0.1063
LBFGS:   21 09:36:24     -154.699374*       0.1148
LBFGS:   22 09:40:29     -154.706283*       0.2012
LBFGS:   23 09:43:06     -154.713040*       0.2435
LBFGS:   24 09:47:12     -154.729553*       0.2675
LBFGS:   25 09:50:56     -154.738286*       0.1442
LBFGS:   26 09:53:21     -154.743345*       0.1277
LBFGS:   27 09:57:28     -154.760010*       0.2109
LBFGS:   28 10:00:38     -154.771647*       0.2162
LBFGS:   29 10:04:07     -154.784474*       0.1652
