       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 11:40:11     -155.069241*       0.4689
LBFGS:    1 11:42:05     -155.083443*       0.3824
LBFGS:    2 11:45:26     -155.133238*       0.2775
LBFGS:    3 11:47:30     -155.139288*       0.2684
LBFGS:    4 11:51:07     -155.162664*       0.2785
LBFGS:    5 11:53:35     -155.175153*       0.2434
LBFGS:    6 11:56:26     -155.192844*       0.2507
LBFGS:    7 11:58:53     -155.200283*       0.2463
LBFGS:    8 12:02:29     -155.226517*       0.2864
LBFGS:    9 12:05:42     -155.243417*       0.3148
LBFGS:   10 12:08:33     -155.259492*       0.2214
LBFGS:   11 12:11:24     -155.269534*       0.2094
LBFGS:   12 12:14:27     -155.286026*       0.2039
LBFGS:   13 12:17:52     -155.306549*       0.3071
LBFGS:   14 12:20:55     -155.320329*       0.2693
LBFGS:   15 12:23:46     -155.330455*       0.1599
LBFGS:   16 12:26:13     -155.336970*       0.1563
LBFGS:   17 12:29:05     -155.345352*       0.1637
LBFGS:   18 12:31:33     -155.350806*       0.1596
LBFGS:   19 12:34:01     -155.355136*       0.1607
LBFGS:   20 12:36:06     -155.359013*       0.1571
LBFGS:   21 12:38:46     -155.365376*       0.1549
LBFGS:   22 12:41:36     -155.372140*       0.1156
LBFGS:   23 12:44:27     -155.376861*       0.1146
LBFGS:   24 12:46:44     -155.378704*       0.0791
LBFGS:   25 12:49:01     -155.380437*       0.0754
LBFGS:   26 12:51:18     -155.382393*       0.0810
LBFGS:   27 12:53:46     -155.385346*       0.0838
LBFGS:   28 12:56:14     -155.387679*       0.0729
LBFGS:   29 12:58:20     -155.389120*       0.0718
LBFGS:   30 13:00:25     -155.391000*       0.0656
LBFGS:   31 13:02:53     -155.393746*       0.0762
LBFGS:   32 13:05:10     -155.396006*       0.0865
LBFGS:   33 13:07:15     -155.397583*       0.0771
LBFGS:   34 13:09:09     -155.398497*       0.0607
LBFGS:   35 13:11:14     -155.399824*       0.0646
LBFGS:   36 13:13:31     -155.401812*       0.1024
LBFGS:   37 13:15:59     -155.404044*       0.1139
LBFGS:   38 13:18:26     -155.406190*       0.0963
LBFGS:   39 13:20:32     -155.408416*       0.1050
LBFGS:   40 13:23:23     -155.412454*       0.1368
LBFGS:   41 13:26:03     -155.417895*       0.1237
LBFGS:   42 13:29:05     -155.428421*       0.1870
LBFGS:   43 13:31:56     -155.434592*       0.1504
LBFGS:   44 13:34:35     -155.440420*       0.1581
LBFGS:   45 13:37:38     -155.447021*       0.1540
LBFGS:   46 13:41:03     -155.456610*       0.2565
LBFGS:   47 13:43:54     -155.463423*       0.2569
LBFGS:   48 13:46:22     -155.470114*       0.1378
LBFGS:   49 13:49:10     -155.475140*       0.1273
LBFGS:   50 13:51:27     -155.478931*       0.1115
LBFGS:   51 13:54:29     -155.488479*       0.1905
LBFGS:   52 13:57:20     -155.493762*       0.2196
LBFGS:   53 13:59:35     -155.497283*       0.1801
LBFGS:   54 14:02:26     -155.502610*       0.1137
LBFGS:   55 14:05:17     -155.507707*       0.1053
LBFGS:   56 14:08:08     -155.512299*       0.1253
LBFGS:   57 14:10:24     -155.515696*       0.1058
LBFGS:   58 14:12:41     -155.518345*       0.0933
LBFGS:   59 14:15:09     -155.522182*       0.1008
LBFGS:   60 14:18:00     -155.526896*       0.1311
LBFGS:   61 14:20:50     -155.531143*       0.1820
LBFGS:   62 14:23:18     -155.534605*       0.1729
LBFGS:   63 14:25:57     -155.538901*       0.1459
LBFGS:   64 14:28:37     -155.544683*       0.1603
LBFGS:   65 14:31:26     -155.551657*       0.1820
LBFGS:   66 14:34:28     -155.558031*       0.2582
LBFGS:   67 14:37:05     -155.564410*       0.2521
LBFGS:   68 14:40:07     -155.571717*       0.1671
LBFGS:   69 14:42:47     -155.579384*       0.1584
LBFGS:   70 14:46:12     -155.588804*       0.1500
LBFGS:   71 14:48:29     -155.593383*       0.1585
LBFGS:   72 14:51:43     -155.598552*       0.1528
LBFGS:   73 14:54:22     -155.603468*       0.1196
LBFGS:   74 14:57:01     -155.611399*       0.1257
LBFGS:   75 14:59:30     -155.617310*       0.1237
LBFGS:   76 15:01:36     -155.620138*       0.1109
LBFGS:   77 15:03:42     -155.623418*       0.0783
LBFGS:   78 15:06:10     -155.627542*       0.0877
LBFGS:   79 15:08:27     -155.631115*       0.0724
LBFGS:   80 15:10:56     -155.633577*       0.0741
LBFGS:   81 15:13:01     -155.634734*       0.0654
LBFGS:   82 15:15:07     -155.636472*       0.0530
LBFGS:   83 15:17:13     -155.638361*       0.0571
LBFGS:   84 15:19:19     -155.639968*       0.0579
LBFGS:   85 15:21:13     -155.641052*       0.0558
LBFGS:   86 15:23:18     -155.642158*       0.0548
LBFGS:   87 15:25:35     -155.643694*       0.0551
LBFGS:   88 15:28:26     -155.646042*       0.0510
LBFGS:   89 15:30:42     -155.647506*       0.0511
LBFGS:   90 15:33:22     -155.649074*       0.0828
LBFGS:   91 15:35:16     -155.649751*       0.0637
LBFGS:   92 15:37:34     -155.651520*       0.0427
