       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 20:01:40     -234.308433*       1.7673
LBFGS:    1 20:05:52     -234.374508*       1.4920
LBFGS:    2 20:13:24     -234.531903*       0.5046
LBFGS:    3 20:16:42     -234.540571*       0.3198
LBFGS:    4 20:19:42     -234.548314*       0.2604
LBFGS:    5 20:24:49     -234.569268*       0.2297
LBFGS:    6 20:27:49     -234.573654*       0.1331
LBFGS:    7 20:30:49     -234.576795*       0.0976
LBFGS:    8 20:35:02     -234.580046*       0.1654
LBFGS:    9 20:38:57     -234.583114*       0.1848
LBFGS:   10 20:43:28     -234.589679*       0.1862
LBFGS:   11 20:46:29     -234.591371*       0.1355
LBFGS:   12 20:50:42     -234.594696*       0.1277
LBFGS:   13 20:54:36     -234.598531*       0.1160
LBFGS:   14 20:59:26     -234.618575*       0.1499
LBFGS:   15 21:05:09     -234.642520*       0.2600
LBFGS:   16 21:11:11     -234.692844*       0.4210
LBFGS:   17 21:16:54     -234.707864*       0.3820
LBFGS:   18 21:22:02     -234.770994*       0.3880
LBFGS:   19 21:27:27     -234.829469*       0.2710
LBFGS:   20 21:31:03     -234.837601*       0.1687
LBFGS:   21 21:34:40     -234.845900*       0.2358
LBFGS:   22 21:38:53     -234.854972*       0.2595
LBFGS:   23 21:43:05     -234.864466*       0.1915
LBFGS:   24 21:47:18     -234.874106*       0.1601
LBFGS:   25 21:51:30     -234.883868*       0.2175
LBFGS:   26 21:57:13     -234.893958*       0.2185
LBFGS:   27 22:01:08     -234.901186*       0.1853
LBFGS:   28 22:05:02     -234.906851*       0.1582
LBFGS:   29 22:09:15     -234.911903*       0.1000
LBFGS:   30 22:12:52     -234.914139*       0.1276
LBFGS:   31 22:16:28     -234.915749*       0.1165
LBFGS:   32 22:19:47     -234.917666*       0.0888
LBFGS:   33 22:23:06     -234.919982*       0.0752
LBFGS:   34 22:26:43     -234.922502*       0.1102
LBFGS:   35 22:30:19     -234.923955*       0.1294
LBFGS:   36 22:33:56     -234.925742*       0.1359
LBFGS:   37 22:38:09     -234.927893*       0.1121
LBFGS:   38 22:42:03     -234.930315*       0.0792
LBFGS:   39 22:46:52     -234.933279*       0.1189
LBFGS:   40 22:49:34     -234.934060*       0.0976
LBFGS:   41 22:52:35     -234.934594*       0.0571
LBFGS:   42 22:55:35     -234.934806*       0.0301
