       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 10:01:40     -234.123863*       1.3572
LBFGS:    1 10:11:13     -234.197444*       1.1592
LBFGS:    2 10:28:00     -234.470914*       0.7352
LBFGS:    3 10:36:53     -234.493934*       0.7259
LBFGS:    4 10:51:31     -234.673884*       0.8930
LBFGS:    5 11:01:49     -234.726341*       0.6896
LBFGS:    6 11:13:49     -234.784236*       0.6919
LBFGS:    7 11:25:49     -234.821631*       0.5865
LBFGS:    8 11:39:34     -234.840421*       0.5841
LBFGS:    9 11:50:28     -234.863577*       0.4841
LBFGS:   10 12:00:40     -234.884316*       0.5934
LBFGS:   11 12:11:00     -234.887112*       0.5994
LBFGS:   12 12:23:23     -234.900004*       0.3410
LBFGS:   13 12:34:47     -234.906684*       0.3831
LBFGS:   14 12:44:20     -234.904478*       0.3451
LBFGS:   15 12:53:14     -234.903885*       0.4007
LBFGS:   16 13:02:50     -234.908693*       0.3045
LBFGS:   17 13:11:27     -234.913528*       0.1773
LBFGS:   18 13:20:18     -234.914169*       0.1737
LBFGS:   19 13:28:27     -234.913386*       0.2571
LBFGS:   20 13:39:23     -234.913252*       0.3339
LBFGS:   21 13:48:54     -234.916370*       0.2117
LBFGS:   22 13:58:27     -234.918739*       0.1271
LBFGS:   23 14:07:18     -234.918081*       0.1923
LBFGS:   24 14:15:26     -234.917353*       0.2395
LBFGS:   25 14:25:02     -234.917042*       0.2678
LBFGS:   26 14:33:53     -234.918435*       0.1598
LBFGS:   27 14:43:26     -234.918707*       0.0800
LBFGS:   28 14:50:11     -234.918425*       0.0901
LBFGS:   29 14:59:03     -234.917680*       0.1726
LBFGS:   30 15:07:12     -234.917922*       0.1172
LBFGS:   31 15:16:48     -234.917661*       0.0968
LBFGS:   32 15:23:33     -234.917070*       0.0931
LBFGS:   33 15:33:05     -234.915795*       0.1305
LBFGS:   34 15:41:58     -234.915442*       0.1194
LBFGS:   35 15:50:08     -234.914273*       0.0775
LBFGS:   36 15:56:45     -234.914189*       0.0702
LBFGS:   37 16:04:58     -234.913737*       0.1067
LBFGS:   38 16:13:06     -234.913377*       0.1028
LBFGS:   39 16:21:56     -234.912018*       0.0661
LBFGS:   40 16:28:47     -234.911525*       0.0571
LBFGS:   41 16:37:40     -234.910535*       0.0699
LBFGS:   42 16:44:28     -234.910314*       0.0690
LBFGS:   43 16:53:47     -234.907845*       0.1105
LBFGS:   44 17:00:34     -234.908968*       0.0743
LBFGS:   45 17:07:24     -234.909608*       0.0408
