       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 23:06:49     -285.326511*       0.1005
LBFGS:    1 23:07:38     -285.327851*       0.0916
LBFGS:    2 23:08:59     -285.335131*       0.0945
LBFGS:    3 23:09:48     -285.336228*       0.0989
LBFGS:    4 23:11:06     -285.340432*       0.1140
LBFGS:    5 23:12:30     -285.344147*       0.1289
LBFGS:    6 23:13:45     -285.346999*       0.1295
LBFGS:    7 23:15:01     -285.351153*       0.1813
LBFGS:    8 23:16:19     -285.355392*       0.1731
LBFGS:    9 23:17:36     -285.361945*       0.1769
LBFGS:   10 23:18:54     -285.368498*       0.1713
LBFGS:   11 23:20:11     -285.375213*       0.2078
LBFGS:   12 23:21:36     -285.382240*       0.2683
LBFGS:   13 23:23:16     -285.390088*       0.3033
LBFGS:   14 23:24:35     -285.398876*       0.2833
LBFGS:   15 23:25:59     -285.408729*       0.2692
LBFGS:   16 23:27:29     -285.417769*       0.2276
LBFGS:   17 23:29:00     -285.424410*       0.2579
LBFGS:   18 23:30:24     -285.430284*       0.2479
LBFGS:   19 23:31:47     -285.436865*       0.2507
LBFGS:   20 23:33:10     -285.442806*       0.2241
LBFGS:   21 23:34:28     -285.449089*       0.1979
LBFGS:   22 23:35:54     -285.453955*       0.1948
LBFGS:   23 23:37:11     -285.458128*       0.2012
LBFGS:   24 23:38:36     -285.461569*       0.2163
LBFGS:   25 23:39:54     -285.465419*       0.1440
LBFGS:   26 23:41:08     -285.468297*       0.1587
LBFGS:   27 23:42:24     -285.471245*       0.1285
LBFGS:   28 23:43:40     -285.474225*       0.1670
LBFGS:   29 23:44:57     -285.478148*       0.2069
LBFGS:   30 23:46:14     -285.482807*       0.2475
LBFGS:   31 23:47:31     -285.487883*       0.1964
LBFGS:   32 23:48:55     -285.492263*       0.1429
LBFGS:   33 23:50:12     -285.496350*       0.2069
LBFGS:   34 23:51:30     -285.501180*       0.2084
LBFGS:   35 23:52:49     -285.506764*       0.2058
LBFGS:   36 23:54:28     -285.511198*       0.1611
LBFGS:   37 23:55:47     -285.514787*       0.1173
LBFGS:   38 23:57:06     -285.517875*       0.1539
LBFGS:   39 23:58:22     -285.521638*       0.1696
LBFGS:   40 23:59:38     -285.526177*       0.1693
LBFGS:   41 00:00:54     -285.530795*       0.1146
LBFGS:   42 00:02:11     -285.534459*       0.1161
LBFGS:   43 00:03:26     -285.537625*       0.1001
LBFGS:   44 00:04:43     -285.540925*       0.1181
LBFGS:   45 00:05:59     -285.544757*       0.1263
LBFGS:   46 00:07:28     -285.547796*       0.1139
