       Step     Time          Energy         fmax
*Force-consistent energies used in optimization.
LBFGS:    0 21:23:37     -505.196975*       3.2196
LBFGS:    1 21:25:23     -505.358843*       3.0264
LBFGS:    2 21:28:00     -505.943318*       2.1944
LBFGS:    3 21:30:31     -506.330778*       1.4192
LBFGS:    4 21:32:58     -506.550619*       0.8260
LBFGS:    5 21:35:58     -506.655513*       0.8722
LBFGS:    6 21:38:44     -506.691204*       0.6886
LBFGS:    7 21:41:34     -506.733551*       0.6984
LBFGS:    8 21:43:30     -506.773735*       0.7321
LBFGS:    9 21:45:25     -506.803304*       0.7221
LBFGS:   10 21:48:00     -506.855052*       1.1781
LBFGS:   11 21:51:13     -506.894132*       0.7461
LBFGS:   12 21:53:41     -506.944426*       0.4836
LBFGS:   13 21:56:10     -506.970952*       0.4450
LBFGS:   14 21:57:59     -506.984480*       0.5277
LBFGS:   15 21:59:43     -507.005430*       0.5456
LBFGS:   16 22:02:13     -507.023105*       0.4599
LBFGS:   17 22:04:14     -507.045913*       0.4824
LBFGS:   18 22:06:30     -507.077935*       0.4416
LBFGS:   19 22:08:39     -507.091335*       0.3794
LBFGS:   20 22:10:49     -507.104785*       0.1946
LBFGS:   21 22:12:52     -507.111089*       0.1595
LBFGS:   22 22:14:23     -507.114222*       0.1463
LBFGS:   23 22:16:10     -507.117257*       0.1465
LBFGS:   24 22:17:25     -507.118127*       0.1443
LBFGS:   25 22:19:13     -507.119762*       0.1307
LBFGS:   26 22:20:46     -507.121178*       0.1245
LBFGS:   27 22:22:44     -507.124057*       0.1127
LBFGS:   28 22:24:26     -507.125451*       0.1046
LBFGS:   29 22:26:33     -507.128726*       0.1114
LBFGS:   30 22:28:07     -507.129739*       0.0848
LBFGS:   31 22:29:58     -507.132440*       0.0873
LBFGS:   32 22:31:58     -507.134000*       0.0767
LBFGS:   33 22:33:58     -507.135207*       0.0748
LBFGS:   34 22:35:24     -507.135557*       0.0564
LBFGS:   35 22:36:34     -507.135978*       0.0539
LBFGS:   36 22:38:34     -507.135249*       0.1147
LBFGS:   37 22:40:09     -507.136518*       0.0396
